date,channel,campaign,content_type,impressions,clicks,engagements,ctr,engagement_rate
2026-07-01,LinkedIn,Sustainability Campaign,Video,12500,620.0,980.0,4.96,7.84
2026-07-02,Instagram,Product Innovation,Video,16800,720.0,1850.0,4.29,11.01
2026-07-03,Website,Product Innovation,Article,8400,710.0,540.0,8.45,6.43
2026-07-04,LinkedIn,Employer Branding,Image,15200,490.0,1100.0,3.22,7.24
2026-07-05,Instagram,Employer Branding,Video,18400,760.0,2100.0,4.13,11.41
2026-07-06,Website,Sustainability Campaign,Article,9100,830.0,610.0,9.12,6.7
2026-07-07,LinkedIn,Product Innovation,Article,11300,680.0,890.0,6.02,7.88
2026-07-08,Instagram,Sustainability Campaign,Image,20100,920.0,2400.0,4.58,11.94
2026-07-09,Website,Employer Branding,Article,7800,650.0,420.0,8.33,5.38
2026-07-10,LinkedIn,Sustainability Campaign,Video,16700,810.0,1350.0,4.85,8.08
2026-07-11,Instagram,Product Innovation,Video,22100,1050.0,2750.0,4.75,12.44
2026-07-12,Website,Product Innovation,Article,10200,850.0,690.0,8.33,6.76
2026-07-13,LinkedIn,Employer Branding,Video,14300,590.0,1250.0,4.13,8.74
2026-07-14,Instagram,Sustainability Campaign,Video,19500,890.0,2210.0,4.56,11.33
2026-07-15,Website,Sustainability Campaign,Article,8700,760.0,580.0,8.74,6.67
2026-07-16,LinkedIn,Product Innovation,Image,13200,700.0,1020.0,5.3,7.73
2026-07-17,Instagram,Employer Branding,Image,17600,690.0,1980.0,3.92,11.25
2026-07-18,Website,Employer Branding,Article,8200,670.0,460.0,8.17,5.61
2026-07-19,LinkedIn,Sustainability Campaign,Article,15800,790.0,1290.0,5.0,8.16
2026-07-20,Instagram,Product Innovation,Video,21400,1020.0,2650.0,4.77,12.38
2026-07-21,Website,Product Innovation,Article,9500,810.0,630.0,8.53,6.63
2026-07-22,LinkedIn,Employer Branding,Image,14700,520.0,1120.0,3.54,7.62
2026-07-23,Instagram,Sustainability Campaign,Image,20300,940.0,2450.0,4.63,12.07
2026-07-24,Website,Sustainability Campaign,Article,9300,850.0,620.0,9.14,6.67
2026-07-25,LinkedIn,Product Innovation,Video,12100,710.0,960.0,5.87,7.93
2026-07-26,Instagram,Employer Branding,Video,18900,770.0,2180.0,4.07,11.53
2026-07-27,Website,Employer Branding,Article,7900,640.0,430.0,8.1,5.44
2026-07-28,LinkedIn,Sustainability Campaign,Video,17100,830.0,1390.0,4.85,8.13
2026-07-29,Instagram,Product Innovation,Image,22600,1080.0,2810.0,4.78,12.43
2026-07-30,Website,Product Innovation,Article,10400,870.0,700.0,8.37,6.73
2026-08-01,LinkedIn,Employer Branding,Image,14900,540.0,1160.0,3.62,7.79
2026-08-02,Instagram,Sustainability Campaign,Video,19800,910.0,2310.0,4.6,11.67
2026-08-03,Website,Sustainability Campaign,Article,9200,820.0,600.0,8.91,6.52
2026-08-04,LinkedIn,Product Innovation,Article,12700,730.0,990.0,5.75,7.8
2026-08-05,Instagram,Employer Branding,Video,18100,740.0,2070.0,4.09,11.44
2026-08-06,Website,Employer Branding,Article,8100,660.0,450.0,8.15,5.56
2026-08-07,LinkedIn,Sustainability Campaign,Video,16300,800.0,1330.0,4.91,8.16
2026-08-08,Instagram,Product Innovation,Video,21900,1040.0,2710.0,4.75,12.37
2026-08-09,Website,Product Innovation,Article,9800,840.0,650.0,8.57,6.63
2026-08-10,LinkedIn,Employer Branding,Image,14600,510.0,1110.0,3.49,7.6
2026-08-12,Website,Sustainability Campaign,Article,9400,860.0,640.0,9.15,6.81
2026-08-13,LinkedIn,Product Innovation,Video,12400,720.0,970.0,5.81,7.82
2026-08-15,Website,Employer Branding,Article,8000,650.0,440.0,8.12,5.5
2026-08-16,LinkedIn,Sustainability Campaign,Video,16900,820.0,1370.0,4.85,8.11
2026-08-17,Instagram,Product Innovation,Video,22300,1060.0,2780.0,4.75,12.47
2026-08-19,LinkedIn,Employer Branding,Image,14500,500.0,1090.0,3.45,7.52
