date,channel,campaign,content_type,impressions,clicks,engagements
2026-07-01,LinkedIn,Sustainability Campaign,Video,12500,620,980
2026-07-02,Instagram,Product Innovation,Video,16800,720,1850
2026-07-03,Website,Product Innovation,Article,8400,710,540
2026-07-04,linkedin,Employer Branding,Image,15200,490,1100
2026-07-05,Instagram,Employer Branding,Video,18400,760,2100
2026-07-06,Website,Sustainability Campaign,Article,9100,830,610
2026-07-07,LinkedIn,Product Innovation,Article,11300,680,890
2026-07-08,instagram,Sustainability Campaign,Image,20100,920,2400
2026-07-09,Website,Employer Branding,Article,7800,650,420
2026-07-10,LinkedIn,Sustainability Campaign,Video,16700,810,1350
2026-07-11,Instagram,Product Innovation,Video,22100,1050,2750
2026-07-12,Website,Product Innovation,Article,10200,850,690
2026-07-13,LinkedIn,Employer Branding,Video,14300,590,1250
2026-07-14,Instagram,Sustainability Campaign,Video,19500,890,2210
2026-07-15,Website,Sustainability Campaign,Article,8700,760,580
2026-07-16,LinkedIn,Product Innovation,Image,13200,700,1020
2026-07-17,Instagram,Employer Branding,Image,17600,690,1980
2026-07-18,Website,Employer Branding,Article,8200,670,460
2026-07-19,LinkedIn,Sustainability Campaign,Article,15800,790,1290
2026-07-20,Instagram,Product Innovation,Video,21400,1020,2650
2026-07-21,Website,Product Innovation,Article,9500,810,630
2026-07-22,LinkedIn,Employer Branding,Image,14700,520,1120
2026-07-23,Instagram,Sustainability Campaign,Image,20300,940,2450
2026-07-24,Website,Sustainability Campaign,Article,9300,850,620
2026-07-25,LinkedIn,Product Innovation,Video,12100,710,960
2026-07-26,Instagram,Employer Branding,Video,18900,770,2180
2026-07-27,Website,Employer Branding,Article,7900,640,430
2026-07-28,LinkedIn,Sustainability Campaign,Video,17100,830,1390
2026-07-29,Instagram,Product Innovation,Image,22600,1080,2810
2026-07-30,Website,Product Innovation,Article,10400,870,700
2026-08-01,LinkedIn,Employer Branding,Image,14900,540,1160
2026-08-02,Instagram,Sustainability Campaign,Video,19800,910,2310
2026-08-03,Website,Sustainability Campaign,Article,9200,820,600
2026-08-04,LinkedIn,Product Innovation,Article,12700,730,990
2026-08-05,Instagram,Employer Branding,Video,18100,740,2070
2026-08-06,Website,Employer Branding,Article,8100,660,450
2026-08-07,LinkedIn,Sustainability Campaign,Video,16300,800,1330
2026-08-08,Instagram,Product Innovation,Video,21900,1040,2710
2026-08-09,Website,Product Innovation,Article,9800,840,650
2026-08-10,LinkedIn,Employer Branding,Image,14600,510,1110
2026-08-11,Instagram,Sustainability Campaign,Image,20500,,2490
2026-08-12,Website,Sustainability Campaign,Article,9400,860,640
2026-08-13,LinkedIn,Product Innovation,Video,12400,720,970
2026-08-14,Instagram,Employer Branding,Video,18700,760,
2026-08-15,Website,Employer Branding,Article,8000,650,440
2026-08-16,LinkedIn,Sustainability Campaign,Video,16900,820,1370
2026-08-17,Instagram,Product Innovation,Video,22300,1060,2780
2026-08-18,Website,Product Innovation,Article,-500,800,620
2026-08-19,LINKEDIN,Employer Branding,image,14500,500,1090
2026-08-19,LINKEDIN,Employer Branding,image,14500,500,1090
